Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID211,211,1,-1,4.98657,5.89960,6.50000,0.00000,0,0.39269,1,507.45570,201.08861,2652.86076,None,None,None,None,None,None,None,-10921639,507.45570,458,193,1422,40089,246.71232,1.26859,-0.04243,-0.18228
ID208,208,1,-1,5.00413,5.91716,6.50000,63.28448,1,0.39269,1,567.25316,198.87342,2554.00000,None,None,None,None,None,None,None,-10921639,567.25316,484,211,1559,44813,274.37484,1.49223,-0.03717,-0.15965
ID205,205,1,-1,4.96901,5.91716,6.50000,126.56895,2,0.39269,1,497.73418,182.93671,2542.77215,None,None,None,None,None,None,None,-10921639,497.73418,450,265,1129,39321,172.98019,1.26491,-0.03237,-0.19251
ID202,202,1,-1,4.96901,5.82937,6.50000,189.85343,3,0.39269,1,503.37975,167.72152,2735.93671,None,None,None,None,None,None,None,-10921639,503.37975,458,251,1003,39767,181.29055,1.25689,0.00323,0.01788
ID199,199,1,-1,4.98657,5.86448,6.50000,253.13791,4,0.39269,1,714.79747,193.55696,2799.72152,None,None,None,None,None,None,None,-10921639,714.79747,633,227,1938,56469,365.14203,1.26731,0.01514,0.05838
ID196,196,1,-1,4.98657,5.86448,6.50000,316.42239,5,0.39269,1,622.01266,174.91139,2587.41772,None,None,None,None,None,None,None,-10921639,622.01266,582,203,1362,49139,239.97823,1.41265,-0.01099,-0.05760
ID193,193,1,-1,5.00413,5.84693,6.50000,379.70686,6,0.39269,1,646.56962,158.91139,2604.83544,None,None,None,None,None,None,None,-10921639,646.56962,597,266,1303,51079,243.73502,1.29445,0.01354,0.07088
ID190,190,1,-1,4.91633,5.75913,6.50000,442.99134,7,0.39269,1,786.40506,158.82278,2605.25316,None,None,None,None,None,None,None,-10921639,786.40506,724,336,1402,62126,274.00695,1.09400,0.08787,0.46362
ID187,187,1,-1,4.91633,5.65378,6.50000,506.27582,8,0.39269,1,960.55696,159.96203,2465.45570,None,None,None,None,None,None,None,-10921639,960.55696,915,394,1672,75884,310.19724,1.10190,0.19431,1.00763
ID183,183,1,-1,4.91633,5.60111,6.50000,569.56030,9,0.39269,1,1046.26582,143.87342,2639.06329,None,None,None,None,None,None,None,-10921639,1046.26582,1074,387,1814,82655,303.46198,1.10105,0.20719,1.18347
ID180,180,1,-1,4.95145,5.49576,6.50000,632.84477,10,0.39269,1,1149.94937,128.56962,2119.65823,None,None,None,None,None,None,None,-10921639,1149.94937,1168,554,1731,90846,268.28606,1.10797,0.20517,1.45942
ID177,177,1,-1,4.86366,5.39041,6.50000,696.12925,11,0.39269,1,1153.44304,107.53165,1748.56962,None,None,None,None,None,None,None,-10921639,1153.44304,1145,444,1807,91122,313.92126,1.10945,0.17151,1.07586
ID174,174,1,-1,4.96901,5.21483,6.50000,759.41373,12,0.39269,1,1107.20253,90.40506,1311.55696,None,None,None,None,None,None,None,-10921639,1107.20253,1065,369,1924,87469,390.67566,1.11362,0.18891,0.90064
ID171,171,1,-1,4.88122,5.05680,6.50000,822.69820,13,0.39269,1,934.17722,78.36709,905.29114,None,None,None,None,None,None,None,-10921639,934.17722,915,382,1792,73800,332.16125,1.24709,0.15354,0.74870
ID168,168,1,-1,4.89878,4.89878,6.50000,885.98268,14,0.39269,1,918.10127,65.31646,777.41772,None,None,None,None,None,None,None,-10921639,918.10127,821,349,1813,72530,379.35365,1.09529,0.15404,0.64607
